Date,Close,High,Low,Open,Volume
3/2/2016,397.3965759,401.8364767,390.3219899,390.3219899,15332044
3/3/2016,407.0570374,408.8622825,397.2502093,401.3973804,14677533
3/4/2016,405.9836731,408.0328696,399.3482108,408.0328696,8992492
3/8/2016,401.7877197,412.8143046,398.909083,405.544575,6921273
3/9/2016,406.7642822,408.0816248,397.6405004,399.1042077,8437253
3/10/2016,403.0074158,409.8380499,400.66549,407.3985377,5631550
3/11/2016,402.8122253,411.7408634,398.3723252,403.8368383,8348484
3/14/2016,405.3981934,412.0336554,403.1050457,407.4961681,6963673
3/15/2016,408.7159119,411.5457403,406.0324482,407.3985692,8188560
3/16/2016,414.3267822,416.0344409,401.0558291,408.8622686,8290044
3/17/2016,417.790863,424.4751326,415.204986,419.5961081,11080947
3/18/2016,425.5485535,427.0122609,418.7179187,419.5473589,6675930
3/21/2016,433.7453308,434.7211358,427.3050117,428.3784032,8910574
3/22/2016,430.5739441,436.7703116,423.7920876,436.1848227,8004834
3/23/2016,426.9146423,430.5739107,424.5727165,428.6223009,5018310
3/28/2016,412.6679077,427.9880574,409.6429064,427.2562036,9200929
3/29/2016,419.0594482,422.4259575,412.1800055,413.6437129,6674980
3/30/2016,433.5013733,434.9163025,421.6453484,422.8162966,9551121
3/31/2016,433.403717,438.1363765,427.5976961,432.9646227,12671936
4/1/2016,439.014679,441.0638755,429.4029934,430.2324336,8827751
4/4/2016,433.9892883,440.6247506,431.4034109,440.5759723,5347581
4/5/2016,422.1332397,438.6243379,420.5719458,432.6719216,12100258
4/6/2016,414.3755798,425.7437019,412.863094,422.816287,7457831
4/7/2016,416.3271484,421.3525376,414.6194899,417.4005398,5374072
4/8/2016,411.399353,417.0102312,409.8868376,416.375964,6881318
4/11/2016,419.4009399,421.4501362,407.3985514,413.6436969,6221772
4/12/2016,423.5481262,425.8900819,419.0106392,420.0840306,5586212
4/13/2016,429.8420715,434.5259233,427.5001457,429.4029474,9091282
4/18/2016,434.4772034,435.2578355,426.8171277,434.1844738,6674315
4/20/2016,447.9920349,449.5045206,433.5989127,435.3065712,10775664
4/21/2016,456.6279297,461.3117814,451.7976834,452.5783154,11717618
4/22/2016,464.336792,466.9226692,450.9194739,454.3347912,7323373
4/25/2016,458.5307617,465.8005209,453.7493232,462.5315682,7474910
4/26/2016,468.581543,473.1678083,452.4319534,458.7259071,12685893
4/27/2016,454.2372131,462.0436529,446.9674542,450.1388204,29544825
4/28/2016,456.7254944,460.4335711,450.3827622,451.7976913,16457436
4/29/2016,460.9702454,465.8980782,453.7980731,455.4569534,10883473
5/2/2016,460.3847656,467.4105732,457.1158429,462.8730861,9439328
5/3/2016,459.164978,463.5073217,455.0178073,462.4339304,8097969
5/4/2016,451.2610168,458.6283324,449.114234,454.7251126,8777977
5/5/2016,449.8948364,455.993617,447.3577675,451.7976679,8736141
5/6/2016,450.2852173,452.8222864,447.8944832,449.8460931,4804806
5/9/2016,465.5565796,466.4347981,450.4803802,454.529965,10228014
5/10/2016,476.1440735,477.1686569,466.5811664,467.4106066,12131886
5/11/2016,486.1460266,487.2681963,468.6303163,470.9234638,21878712
5/12/2016,480.6327515,494.6355595,478.7299495,486.5363897,13528266
5/13/2016,478.7786865,484.1944218,474.729102,481.7549094,7426191
5/16/2016,474.6803589,481.7061371,465.7029409,480.0960648,5809867
5/17/2016,491.1714783,493.2694532,478.4372045,478.8275503,8982435
5/18/2016,488.9758606,490.829884,483.2673958,486.4387618,8241793
5/19/2016,478.6323242,489.6101298,477.1686168,489.6101298,5989236
5/20/2016,478.7299194,483.7065307,476.290407,481.998872,5012902
5/23/2016,474.729126,483.4137844,473.2654185,483.4137844,4700955
5/24/2016,477.1198425,479.0714524,470.3379862,471.5577424,4838908
5/25/2016,490.0004578,490.8298979,481.413386,482.0476532,7144175
5/26/2016,506.4428101,510.3460302,488.1464658,490.3420271,11207975
5/27/2016,500.0024719,512.2975903,496.6847113,507.6625168,7699491
5/30/2016,501.2709961,509.4189433,500.1000183,501.5149473,4892196
5/31/2016,502.7347717,506.1500894,498.343649,502.5395988,5706744
6/1/2016,499.5633545,516.6399411,497.6605229,512.1512026,9559476
6/2/2016,511.6632385,512.2975355,494.4890973,498.1483655,7013241
6/3/2016,529.5206299,531.7649696,514.2492572,514.3956517,13581215
6/6/2016,519.9576416,531.8136955,517.4693509,528.9838374,9416306
6/7/2016,521.4702759,526.0565123,514.0053429,526.0565123,11455340
6/8/2016,525.9588623,528.3495963,517.9572499,523.4217933,6988719
6/9/2016,529.4718018,532.6920061,524.1048739,529.8133693,7019405
6/10/2016,527.9592285,535.8632839,525.275765,526.9346453,6382258
6/13/2016,518.2988281,521.6653076,511.3217988,516.9814557,6788154
6/14/2016,516.835083,522.8362473,512.7854689,522.8362473,8234417
6/15/2016,516.0056152,520.4943535,510.0044509,519.0306461,7836638
6/16/2016,510.7850647,515.5176944,503.5153066,515.2249649,5375177
6/17/2016,514.1516113,520.9822454,512.0048287,514.1516113,7201452
6/20/2016,509.8093567,511.2242859,501.5637922,502.5395972,11335041
6/21/2016,504.8815002,511.8096915,502.9786687,511.8096915,5301794
6/22/2016,503.7105713,508.3944235,501.1734425,505.3694518,5374493
6/23/2016,513.6638184,515.2250827,502.3444437,505.4670319,5874012
6/24/2016,498.1484375,499.2218289,480.8766776,489.8540952,9745784
6/27/2016,502.0028381,505.0765878,494.8794446,495.1233958,4612787
6/28/2016,501.5637817,507.9065144,500.3440255,502.5395868,4479273
6/29/2016,505.3205872,506.3940084,501.807713,505.9548842,4721178
6/30/2016,520.592041,522.2997,508.3944768,509.3702819,10912401
7/1/2016,529.7645264,532.4967683,522.543546,522.8362756,6701034
7/4/2016,530.6914673,533.7164982,526.4467398,532.3015692,5173772
7/5/2016,526.6419678,533.0334786,522.2996236,528.1056753,5219466
7/7/2016,534.078186,537.6732039,527.2329119,531.0741622,4650991
7/8/2016,538.2149048,540.2339989,531.8620955,532.8470253,6016471
7/11/2016,536.1958008,544.6661729,533.3887148,543.3365417,6082359
7/12/2016,552.5455322,553.6289308,540.87414,541.7113061,6541827
7/13/2016,548.4581299,555.204935,542.7947836,555.204935,6365885
7/14/2016,551.8069458,553.2351061,545.2571383,547.3747615,4020476
7/15/2016,556.5344849,561.853129,547.6208836,547.7686471,6247207
7/18/2016,562.3948975,568.1074781,560.4250379,561.4099677,6641864
7/19/2016,556.9285278,565.2019015,555.3526042,562.0994089,5547223
7/20/2016,549.8370361,559.2923377,547.4731807,554.8109194,5258296
7/21/2016,529.9414673,549.4923599,527.4791428,549.4923599,9416152
7/22/2016,529.5967407,537.0821828,524.8690899,529.8429732,8134377
7/25/2016,529.9906616,531.8620521,510.686063,510.686063,15701682
7/26/2016,545.4541626,550.7728081,527.3807231,531.5666752,11437473
7/27/2016,540.5787354,549.6893367,535.2601501,545.5033847,7787071
7/28/2016,535.6539917,545.0108238,529.9414115,539.8399429,12174235
7/29/2016,537.9194336,543.4842509,534.3244158,534.3244158,4861274
8/1/2016,542.2531128,549.2953852,538.0179265,538.0179265,7026398
8/2/2016,541.3666382,547.2269219,538.8550193,543.681199,5749264
8/3/2016,541.071106,544.6168889,532.6992035,541.366633,6489800
8/4/2016,539.2490845,547.6209881,536.4420585,543.5827998,5769753
8/5/2016,558.701416,560.4250431,542.2530767,544.0752329,8030392
8/8/2016,562.5427246,563.773887,556.7316143,559.8834019,7360104
8/9/2016,565.4481201,567.3195106,558.1596764,561.9023972,7958291
8/10/2016,559.3416748,566.6301195,554.5154946,565.3989572,6611328
8/11/2016,561.1636963,566.2361083,555.7465829,555.7465829,5098948
8/12/2016,582.0934448,584.2603022,561.2129234,561.2621579,13209690
8/16/2016,574.5094604,584.9989854,571.2592046,584.9989854,11126973
8/17/2016,580.6160889,588.9879918,576.380903,579.3356922,9879769
8/18/2016,584.2110596,588.2984816,581.8964388,582.1919056,12089285
8/19/2016,579.6803589,588.5939606,577.2672691,586.4271634,9209878
8/22/2016,571.5054932,581.0593239,570.6683269,581.0100894,9499230
8/23/2016,573.7216187,576.1839432,571.357763,572.4904564,6963978
8/24/2016,574.6080933,576.0361934,569.9296765,576.0361934,5835501
8/25/2016,577.7105103,585.0482486,576.1838812,577.9567427,17177795
8/26/2016,577.5628052,580.1235984,571.5546979,577.6612741,7531289
8/29/2016,580.2713623,588.0030365,577.1688097,577.5628056,12461059
8/30/2016,582.241333,590.2192411,579.6804792,583.0784994,11834475
8/31/2016,587.8552856,594.7497938,571.9487066,582.5859356,120541914
9/1/2016,587.6583252,593.9126047,583.0783781,588.052261,10204784
9/2/2016,590.1699219,592.9277132,585.2945076,588.6925272,7279782
9/6/2016,626.3168945,628.1882251,593.4202146,593.4202146,15252302
9/7/2016,615.6795654,628.6806502,613.1187721,628.1389509,11869960
9/8/2016,619.8655396,624.4454871,610.4102376,616.5660488,8039571
9/9/2016,603.8604126,615.2856339,602.481547,605.8302721,9795054
9/12/2016,583.1768799,592.7799449,579.5326879,588.7909915,8471237
9/14/2016,592.7307129,595.5377988,581.5517842,584.0633431,5915220
9/15/2016,579.8773804,593.9126291,574.5095013,591.9920041,7145326
9/16/2016,593.1246948,603.1709901,583.324632,583.324632,19309804
9/19/2016,585.3930054,596.8674616,583.9156107,593.9126722,5311980
9/20/2016,584.0141602,589.9729737,580.2714388,589.7759757,4538973
9/21/2016,589.8744507,591.3025507,585.5407357,587.5105952,5480087
9/22/2016,582.8814087,602.7770015,581.1085472,600.807142,10205715
9/23/2016,549.0491333,587.1166343,547.3255061,586.6241694,30222177
9/26/2016,539.1505737,551.5606646,537.0821852,550.6742038,14880674
9/27/2016,532.8469238,545.8972413,530.5815977,542.69622,9085199
9/28/2016,540.8248901,542.3515793,532.3545185,534.9646063,10240083
9/29/2016,531.1726685,546.488316,515.561554,546.0943801,16581655
9/30/2016,533.1917114,538.9043522,522.6037163,526.9374314,5781645
10/3/2016,542.5978394,543.976705,534.7184011,534.7676356,5276340
10/4/2016,538.3626099,545.0108861,532.847027,544.6661847,5690321
10/5/2016,527.6268921,542.3516042,525.2138021,541.7113758,8222912
10/6/2016,522.8005981,526.9373143,516.1523236,523.6870588,10646794
10/7/2016,525.8047485,531.271157,522.0127929,522.0127929,7702773
10/10/2016,523.5394897,530.6309972,522.3083273,529.8922998,3261598
10/13/2016,510.9815063,521.9142619,505.4659242,521.0278011,10008090
10/14/2016,512.8037109,517.0881314,509.0116952,513.1484123,4314775
10/17/2016,511.1786194,525.7555699,509.3072285,516.2510324,7930102
10/18/2016,524.4258423,526.0017058,510.5875917,516.0047052,13532992
10/19/2016,527.4790649,533.8318732,521.1262566,527.577594,10754624
10/20/2016,531.9112549,536.6389053,527.9223018,529.0057003,6969699
10/21/2016,518.1715088,531.0741244,516.3001784,530.5816595,6526349
10/24/2016,513.6901245,522.0127933,509.7504053,521.471094,10660533
10/25/2016,521.1263428,523.4901984,512.2619744,513.0499664,7356952
10/26/2016,480.2024841,494.4347309,477.1984604,491.4799417,38780250
10/27/2016,478.3311157,482.2216002,470.1069465,477.6909174,17198496
10/28/2016,479.5622559,486.5552626,477.2476651,479.5622559,12688495
11/1/2016,468.6295776,480.6949675,467.2999465,480.6949675,10425548
11/2/2016,469.614502,473.2587541,461.045631,462.7199936,9885845
11/3/2016,468.6788025,472.5692568,466.5119451,468.3340711,6631504
11/4/2016,471.4858704,478.3803784,467.0536866,467.2506545,10868004
11/7/2016,478.0848999,482.0738835,474.7853792,477.4447016,6990315
11/8/2016,483.4527588,485.0286524,475.9672869,479.7100078,7460548
11/9/2016,480.2024841,486.5060585,452.0335175,452.082752,12824970
11/10/2016,499.3101807,505.8599279,486.5553276,486.5553276,11433458
11/11/2016,491.2337341,504.9735168,487.5402474,497.3895453,7085764
11/15/2016,472.0768127,495.4196596,469.5652539,490.4950109,11822835
11/16/2016,465.5762939,480.0055084,463.0154706,479.5130436,10704594
11/17/2016,466.9552002,477.0999646,464.2466434,467.2014326,10250008
