Date,Close,High,Low,Open,Volume
3/2/2016,231.5467072,232.3973085,228.7420282,229.4317027,6358976
3/3/2016,233.5352325,234.4892877,232.1903731,232.3627917,4610400
3/4/2016,234.6157379,235.6157742,228.3052142,233.443297,5704624
3/8/2016,233.1444244,235.4088497,232.0754236,235.4088497,1913688
3/9/2016,235.5927734,236.7652142,231.4432215,232.8800431,6528172
3/10/2016,234.7766418,235.8111534,232.2133466,235.5927677,2671392
3/11/2016,236.4893036,236.972098,232.8800194,234.4662758,4730856
3/14/2016,236.2249908,238.6158397,235.6962292,236.3284308,3008656
3/15/2016,236.0295258,237.5698152,234.8685908,236.3054123,7690036
3/16/2016,236.8916473,237.7652461,234.2479095,236.098533,4803548
3/17/2016,234.1214905,238.8572494,232.4547772,237.9261777,5113484
3/18/2016,236.4203491,237.2479526,233.4202548,235.167438,4135068
3/21/2016,240.3745117,240.7768218,237.3054663,237.4778849,5318796
3/22/2016,242.2711334,242.903335,239.2480548,240.5814366,4120264
3/23/2016,241.236618,242.0872334,239.2135899,242.0872334,8464300
3/28/2016,240.8112946,242.0756975,239.4664352,240.2365659,11270868
3/29/2016,242.2596436,243.5700137,240.0641688,240.8113161,6733952
3/30/2016,244.8229065,245.9608861,242.2826226,243.225172,7814380
3/31/2016,246.24823,248.0298887,244.8458978,245.2596855,20080392
4/1/2016,244.7079773,247.4551973,242.9493299,245.7080277,5158648
4/4/2016,245.7654724,246.6275654,244.6045093,244.8803679,6179960
4/5/2016,243.0987244,247.5701303,242.6849366,245.7539821,6663028
4/6/2016,244.0297699,245.2826671,242.9377855,243.9148242,4295376
4/7/2016,242.6504059,244.7769016,240.7078345,244.6044831,3911692
4/8/2016,243.5354462,244.4550118,242.3630057,242.5354242,2962796
4/11/2016,246.2022095,246.9263731,239.7422661,243.7538883,4049620
4/12/2016,244.3746185,246.2137502,243.5125256,245.8918965,4941480
4/13/2016,248.6850739,249.4207153,245.8689036,246.4436322,4974604
4/18/2016,250.0759583,251.0414912,246.3516995,249.0874137,4117068
4/20/2016,252.386322,252.8805943,249.0988911,251.0184791,3821352
4/21/2016,250.8460693,254.0645497,250.3517971,251.7311458,8191728
4/22/2016,251.075943,253.0759873,249.4781806,250.4667251,7809320
4/25/2016,251.3288269,252.8805942,249.3172767,252.8805942,5561960
4/26/2016,256.0646057,256.3289865,251.1564285,251.7311572,7053796
4/27/2016,258.4439697,258.6278941,254.9496307,255.1450329,5763636
4/28/2016,256.0875549,261.3175851,255.2599514,258.4439422,8089584
4/29/2016,260.3176575,261.1567671,254.3059886,256.0531866,5611940
