Date,Close,High,Low,Open,Volume
3/2/2016,217.0089569,217.9298663,213.9212122,215.1454704,20105967
3/3/2016,219.468338,220.5842574,216.1422331,218.8507775,15880459
3/4/2016,218.0707092,219.9341958,217.4423293,219.7175035,8987660
3/8/2016,222.5343933,223.379451,218.3090471,218.3090471,13222993
3/9/2016,225.719635,226.1963405,220.7142346,221.0175979,11854901
3/10/2016,219.22995,226.6297117,218.6340717,225.7954734,20706353
3/11/2016,219.8258362,223.0869375,218.9807785,219.9125217,15319044
3/14/2016,220.9634552,222.4043913,219.490003,220.8226002,11880095
3/15/2016,221.125946,222.7185709,219.9558573,221.8843326,10487788
3/16/2016,221.3967896,222.2743633,217.8648556,221.2342812,11064129
3/17/2016,222.6295471,227.2092308,221.7530486,225.0399108,16832997
3/18/2016,225.0837402,225.730151,222.5638178,223.1225816,14030979
3/21/2016,227.2969055,228.2172276,224.1086603,225.2480998,12708074
3/22/2016,229.6086426,230.5727734,226.9353234,227.2311465,15333442
3/23/2016,225.5220032,229.4004825,224.0319614,229.4004825,16806372
3/28/2016,223.5937195,226.0698187,222.5528828,225.6973045,18070240
3/29/2016,227.0668335,228.3267875,223.5498976,224.3387347,15871250
3/30/2016,229.4333649,230.4632457,228.4801751,228.4801751,14453294
3/31/2016,229.0279694,231.3945098,226.2889295,228.1076619,30833349
4/1/2016,226.6724091,229.2690228,224.6016916,227.691334,12381116
4/4/2016,226.8038635,228.3705964,224.667411,227.8885236,8632568
4/5/2016,225.0289917,228.4144426,223.988155,225.9931373,10259495
4/6/2016,226.5190277,227.1654385,224.0757961,226.1574695,6990781
4/7/2016,227.2859497,229.6415343,223.9662341,226.7710093,8789163
4/8/2016,227.0887451,231.0548715,225.9602615,226.9901277,13411752
4/11/2016,227.9542999,229.0937542,226.3546992,227.231198,10308361
4/12/2016,229.5100708,231.7122735,227.4612649,227.9542936,11164859
4/13/2016,233.5966949,234.440326,230.6385377,230.6385377,16038542
4/18/2016,233.3118591,233.7610643,231.2630534,233.5419324,19065716
4/20/2016,227.2969055,234.2869537,226.9682149,234.2869537,21687934
4/21/2016,228.1405792,230.5180614,226.7929634,228.1953586,11380697
4/22/2016,227.6584625,229.5319597,225.5439216,227.6694184,11705087
4/25/2016,222.8267822,228.8636408,221.8188132,228.8636408,61157544
4/26/2016,222.8377533,224.3606629,220.7670357,222.4981214,26429236
4/27/2016,223.3746033,224.8098659,222.6295896,223.0459272,14502641
4/28/2016,218.4004822,223.3307539,217.1405136,222.1913145,61949033
4/29/2016,215.3327484,218.8058606,214.4891174,217.6883183,23479680
5/2/2016,216.2640381,217.4582569,214.3028793,214.5219967,10620873
5/3/2016,213.8208008,218.0170149,213.1524783,216.4941055,17571826
5/4/2016,214.3248138,215.5519004,213.207286,213.4373592,13546285
5/5/2016,213.7002716,215.4970776,212.747082,214.7411082,21665684
5/6/2016,212.3198242,214.0399394,211.8925307,213.2072788,14748329
5/9/2016,215.4204254,216.0558804,213.163458,213.6455309,15347096
5/10/2016,215.2998962,215.7710132,214.302883,215.4204108,7248302
5/11/2016,213.733139,214.905446,212.5498616,212.9442874,12339923
5/12/2016,217.5458832,217.8526621,213.6564483,213.8646097,12786216
5/13/2016,214.3357697,217.0528982,213.6455353,216.7022958,14648291
5/16/2016,213.8536682,215.2889307,212.7909199,214.0837414,9327335
5/17/2016,212.3636322,215.420407,211.750089,214.7959079,12157600
5/18/2016,212.6704102,213.097689,211.2570594,211.6514852,8228838
5/19/2016,208.4303436,212.966204,207.2032573,212.9223806,9134784
5/20/2016,204.705246,209.1534594,204.080747,208.6056515,18544619
5/23/2016,203.7849426,206.1295714,202.8317529,205.395499,18365734
5/24/2016,206.0747833,206.8526645,203.3576405,203.3576405,12283217
5/25/2016,208.4303436,208.780946,206.2281559,208.1345352,9240115
5/26/2016,207.4771729,208.693318,206.8745855,208.1674218,14190024
5/27/2016,213.5797882,214.0618611,207.8935315,207.9592667,13401594
5/30/2016,212.2650299,215.0698051,211.4542665,213.9522774,9633652
5/31/2016,209.8875275,213.2072576,209.5917191,212.330759,23332727
6/1/2016,208.9562531,211.6953076,208.5618418,209.9094428,9042808
6/2/2016,209.5369415,209.7341618,207.0937245,209.1534862,10253825
6/3/2016,210.2819519,210.9940979,209.4492768,210.358643,8643295
6/6/2016,209.219223,211.0160293,208.7261943,210.5777799,8672842
6/7/2016,209.2740021,210.5668238,208.5180179,209.7560749,18954268
6/8/2016,209.0658264,209.9203987,207.9811517,209.9203987,12135516
6/9/2016,212.8018951,213.9632464,209.5259882,210.3586634,15643495
6/10/2016,214.0180359,215.7052982,212.1774061,213.4264044,16316760
6/13/2016,214.9821777,215.4971182,211.0269922,212.5279901,10214469
6/14/2016,213.9194031,215.9243852,212.3964937,214.9492838,10923848
6/15/2016,215.749115,216.165438,213.3716185,214.7411459,11129082
6/16/2016,213.9303894,215.540946,211.9034952,214.9602703,9372207
6/17/2016,213.6235809,214.4453002,212.5717884,214.083742,10534878
6/20/2016,216.976181,217.5020773,212.1116444,213.020996,10758608
6/21/2016,216.2969055,217.8417267,214.6753933,217.8307708,13933068
6/22/2016,214.850708,216.033971,214.1056797,215.8367654,12788710
6/23/2016,214.8397217,215.1793536,212.5498724,214.730163,9837526
6/24/2016,208.4851532,211.4323695,204.5299824,211.4323695,24985097
6/27/2016,209.4054871,210.0080745,206.0857711,206.0857711,9163399
6/28/2016,209.8765717,210.6982909,209.2630285,209.5698074,7604977
